Country,Date,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,WHO_Region
San Marino,1/22/2020,0,0,0,0,0,0,0,Europe
Sao Tome and Principe,1/22/2020,0,0,0,0,0,0,0,Africa
Saudi Arabia,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Senegal,1/22/2020,0,0,0,0,0,0,0,Africa
Serbia,1/22/2020,0,0,0,0,0,0,0,Europe
Seychelles,1/22/2020,0,0,0,0,0,0,0,Africa
Sierra Leone,1/22/2020,0,0,0,0,0,0,0,Africa
Singapore,1/22/2020,0,0,0,0,0,0,0,Western Pacific
Slovakia,1/22/2020,0,0,0,0,0,0,0,Europe
Slovenia,1/22/2020,0,0,0,0,0,0,0,Europe
Somalia,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
South Africa,1/22/2020,0,0,0,0,0,0,0,Africa
South Korea,1/22/2020,1,0,0,1,0,0,0,Western Pacific
South Sudan,1/22/2020,0,0,0,0,0,0,0,Africa
Spain,1/22/2020,0,0,0,0,0,0,0,Europe
Sri Lanka,1/22/2020,0,0,0,0,0,0,0,South-East Asia
Sudan,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Suriname,1/22/2020,0,0,0,0,0,0,0,Americas
Sweden,1/22/2020,0,0,0,0,0,0,0,Europe
Switzerland,1/22/2020,0,0,0,0,0,0,0,Europe
Syria,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Taiwan*,1/22/2020,1,0,0,1,0,0,0,Western Pacific
Tajikistan,1/22/2020,0,0,0,0,0,0,0,Europe
Tanzania,1/22/2020,0,0,0,0,0,0,0,Africa
Thailand,1/22/2020,2,0,0,2,0,0,0,South-East Asia
Timor-Leste,1/22/2020,0,0,0,0,0,0,0,South-East Asia
Togo,1/22/2020,0,0,0,0,0,0,0,Africa
Trinidad and Tobago,1/22/2020,0,0,0,0,0,0,0,Americas
Tunisia,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Turkey,1/22/2020,0,0,0,0,0,0,0,Europe
US,1/22/2020,1,0,0,1,0,0,0,Americas
Uganda,1/22/2020,0,0,0,0,0,0,0,Africa
Ukraine,1/22/2020,0,0,0,0,0,0,0,Europe
United Arab Emirates,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
United Kingdom,1/22/2020,0,0,0,0,0,0,0,Europe
Uruguay,1/22/2020,0,0,0,0,0,0,0,Americas
Uzbekistan,1/22/2020,0,0,0,0,0,0,0,Europe
Venezuela,1/22/2020,0,0,0,0,0,0,0,Americas
Vietnam,1/22/2020,0,0,0,0,0,0,0,Western Pacific
West Bank and Gaza,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Western Sahara,1/22/2020,0,0,0,0,0,0,0,Africa
Yemen,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Zambia,1/22/2020,0,0,0,0,0,0,0,Africa
Zimbabwe,1/22/2020,0,0,0,0,0,0,0,Africa
Afghanistan,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Albania,1/23/2020,0,0,0,0,0,0,0,Europe
Algeria,1/23/2020,0,0,0,0,0,0,0,Africa
Andorra,1/23/2020,0,0,0,0,0,0,0,Europe
